fastq_md5	fastq_ftp
319b78f23e14d78fc0248498ad144aa1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR193/007/ERR1934147/ERR1934147.fastq.gz
d0034c6688f2680bdfa2293475503e8d	ftp.sra.ebi.ac.uk/vol1/fastq/ERR193/008/ERR1934148/ERR1934148.fastq.gz
74be2d5b6ad1835701d0978314b44e6c	ftp.sra.ebi.ac.uk/vol1/fastq/ERR193/009/ERR1934149/ERR1934149.fastq.gz
73c54077517634b1b8852beeb24e8257	ftp.sra.ebi.ac.uk/vol1/fastq/ERR193/000/ERR1934150/ERR1934150.fastq.gz
968894f1d31fb80429e95586b75e8917	ftp.sra.ebi.ac.uk/vol1/fastq/ERR193/001/ERR1934151/ERR1934151.fastq.gz
229a50d47dc3511469609b5323d0dfb5	ftp.sra.ebi.ac.uk/vol1/fastq/ERR193/002/ERR1934152/ERR1934152.fastq.gz
f676045866bb8e77b61200ac68b1fec4	ftp.sra.ebi.ac.uk/vol1/fastq/ERR193/003/ERR1934153/ERR1934153.fastq.gz
92663a3bfef055fcf148f20be95be4a1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR193/004/ERR1934154/ERR1934154.fastq.gz
ac729d56b77e5677d4edeb7c4648bdce	ftp.sra.ebi.ac.uk/vol1/fastq/ERR193/005/ERR1934155/ERR1934155.fastq.gz
96984fabcd6b9daf101660b7e5fcdade	ftp.sra.ebi.ac.uk/vol1/fastq/ERR193/006/ERR1934156/ERR1934156.fastq.gz
0f892a6b2a5cbe38d44ed24fc255b3ab	ftp.sra.ebi.ac.uk/vol1/fastq/ERR193/007/ERR1934157/ERR1934157.fastq.gz
f6fb4c384447ca47d7f5512d1b1d115a	ftp.sra.ebi.ac.uk/vol1/fastq/ERR193/008/ERR1934158/ERR1934158.fastq.gz
06527222936afb11d7b130624dcbd20c	ftp.sra.ebi.ac.uk/vol1/fastq/ERR193/009/ERR1934159/ERR1934159.fastq.gz
fb81db3c7a86a0eecc4fef3d5fccd858	ftp.sra.ebi.ac.uk/vol1/fastq/ERR193/000/ERR1934160/ERR1934160.fastq.gz
7f0e3c0ddffda2ba37d4e9ea23ad760b	ftp.sra.ebi.ac.uk/vol1/fastq/ERR193/001/ERR1934161/ERR1934161.fastq.gz
86398ab5827284963ec28f5ffc5362bc	ftp.sra.ebi.ac.uk/vol1/fastq/ERR193/002/ERR1934162/ERR1934162.fastq.gz
de6ebfd50537c9fb0e8a773036053224	ftp.sra.ebi.ac.uk/vol1/fastq/ERR193/003/ERR1934163/ERR1934163.fastq.gz
ddfdbfe801e5705b21a607f053afbb56	ftp.sra.ebi.ac.uk/vol1/fastq/ERR193/004/ERR1934164/ERR1934164.fastq.gz
f33fa305b973f6a29982cc5201aba805	ftp.sra.ebi.ac.uk/vol1/fastq/ERR193/005/ERR1934165/ERR1934165.fastq.gz
eaa0d3868fe754ccc903bab8e3da3ce1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR193/006/ERR1934166/ERR1934166.fastq.gz
d3cdfa7435fa0732d87d4f697ea2375d	ftp.sra.ebi.ac.uk/vol1/fastq/ERR193/007/ERR1934167/ERR1934167.fastq.gz
acdc13d8eaa03a926cd7a4d3cfc0775f	ftp.sra.ebi.ac.uk/vol1/fastq/ERR193/008/ERR1934168/ERR1934168.fastq.gz
676d56ab8fe2b83f844eba6f221af740	ftp.sra.ebi.ac.uk/vol1/fastq/ERR193/009/ERR1934169/ERR1934169.fastq.gz
475eb7e3e2071f4e3a51c0479234862a	ftp.sra.ebi.ac.uk/vol1/fastq/ERR193/000/ERR1934170/ERR1934170.fastq.gz
bd05f204b9756ba81ce141b35a82a559	ftp.sra.ebi.ac.uk/vol1/fastq/ERR193/001/ERR1934171/ERR1934171.fastq.gz
6e2fc853b18d664d92e30691e91f1f79	ftp.sra.ebi.ac.uk/vol1/fastq/ERR193/002/ERR1934172/ERR1934172.fastq.gz
be706da87a7c1418a664023ee7f928e9	ftp.sra.ebi.ac.uk/vol1/fastq/ERR193/003/ERR1934173/ERR1934173.fastq.gz
c125a484f152c192bbf1f86d8fabc45d	ftp.sra.ebi.ac.uk/vol1/fastq/ERR193/004/ERR1934174/ERR1934174.fastq.gz
ff816c68018499c32cadf4c394198912	ftp.sra.ebi.ac.uk/vol1/fastq/ERR193/005/ERR1934175/ERR1934175.fastq.gz
68f7b8fdf8852c3ec0a6cd232fb56628	ftp.sra.ebi.ac.uk/vol1/fastq/ERR193/006/ERR1934176/ERR1934176.fastq.gz
76642ad7fd2a4a323891713d0bb020d8	ftp.sra.ebi.ac.uk/vol1/fastq/ERR193/007/ERR1934177/ERR1934177.fastq.gz
97dd54ff14d5d85abb3e2c03eba49ac3	ftp.sra.ebi.ac.uk/vol1/fastq/ERR193/008/ERR1934178/ERR1934178.fastq.gz
a9782c5d2a74f107e3bf5cdb0dcb3a74	ftp.sra.ebi.ac.uk/vol1/fastq/ERR193/009/ERR1934179/ERR1934179.fastq.gz
544551d107f5987b49a299fe3f702a18	ftp.sra.ebi.ac.uk/vol1/fastq/ERR193/000/ERR1934180/ERR1934180.fastq.gz
3f04f6783daa8f5449d64ad25ff1809f	ftp.sra.ebi.ac.uk/vol1/fastq/ERR193/001/ERR1934181/ERR1934181.fastq.gz
d16f3200da12ec0137f348f3eaefaf83	ftp.sra.ebi.ac.uk/vol1/fastq/ERR193/002/ERR1934182/ERR1934182.fastq.gz
1487c9bc72e44e43be66de9c89063ef8	ftp.sra.ebi.ac.uk/vol1/fastq/ERR193/003/ERR1934183/ERR1934183.fastq.gz
a58ac8277cfc9fc2878d1a49d6dead24	ftp.sra.ebi.ac.uk/vol1/fastq/ERR193/004/ERR1934184/ERR1934184.fastq.gz
39e181667195b01cb4a8cc83cebcda3d	ftp.sra.ebi.ac.uk/vol1/fastq/ERR193/005/ERR1934185/ERR1934185.fastq.gz
baba197e2d53d084e6a262ddd02c8917	ftp.sra.ebi.ac.uk/vol1/fastq/ERR193/006/ERR1934186/ERR1934186.fastq.gz
df672bb61beeacc22fb5fc963b61a98d	ftp.sra.ebi.ac.uk/vol1/fastq/ERR193/007/ERR1934187/ERR1934187.fastq.gz
39418e3f30329e5d96e81afc06cac4cc	ftp.sra.ebi.ac.uk/vol1/fastq/ERR193/008/ERR1934188/ERR1934188.fastq.gz
5a9b8f6b1d5b9a6d15ea9c4011646f8a	ftp.sra.ebi.ac.uk/vol1/fastq/ERR193/009/ERR1934189/ERR1934189.fastq.gz
741257fe9214d3dab2b7c690e4013c19	ftp.sra.ebi.ac.uk/vol1/fastq/ERR193/000/ERR1934190/ERR1934190.fastq.gz
b9d5aded448514dcb33f00beb8b3da68	ftp.sra.ebi.ac.uk/vol1/fastq/ERR193/001/ERR1934191/ERR1934191.fastq.gz
92047c22ecf19bed248982dd6fbfcd82	ftp.sra.ebi.ac.uk/vol1/fastq/ERR193/002/ERR1934192/ERR1934192.fastq.gz
